text_col_1,text_col_2
"„Barren” – tühermaa. Mana ei anna. Tühermaale on võimalik ehitada lisaks: fighting pitsi (annab lisalöögi ühes roundis) ja harpy nesti (võimlik palgata harpy-sid). Maa kaitsjad on vastavalt tugevuse järjekorrale: kobold, harpy, berserker ja great wyrm.",
"„Tundra” – tundra. Mana ei anna. Tundrasse on võimalik ehitada lisaks: hunting camp (võimalik palgata huntereid) ja ranger camp (võimalik palgata rangereid). Maa kaitsjad on vastavalt tugevuse järjekorrale: hunter, ranger, shaman ja demon wolf.",
"„Desert” – kõrb. Annab õhu mana. Kõrbesse on võimalik ehitada lisaks: air altari (annab „lighting bolt” loitsu) ja air templi (annab „manipulate winds” loitsu). Maa kaitsjad on vastavalt: scorpion, nomad, sand wyrm ja djinn.",
"„Swamp”-  soo. Annab musta maagia mana. Soosse on võimalik ehitada lisaks: death altari (annab „raise dead” loitsu)ja death templi (annab „death grasp” loitsu). Maa kaitsjad on vastavalt: zombie, ghoul, wraith ja bone dragon.",
"„Volcano”- vulkaan. Mana ei anna. Vulkaanile on võimalik ehitada lisaks: treasury (annab +50 kulda sissutulekut iga vulcano maa kohta juurde) ja dragon nest (võimalik palgata red dragon-eid). Maa kaitsjad on vastavalt: drake, red dragon, black dragon ja ancient dragon.",
"„Brushland”- põõsastik. Annab maa mana. Põõsastikku on võimalik ehitada lisaks: earth altari (annab „earth hammer” loitsu) ja earth templi (annab „summon earth ” loitsu). Maa kaitsjad on vastavalt: gnoll, basilisk, werewolf ja mighty gorgon.",
"„Burrows” – urg, urustik. Mana ei anna. Urgu on võimalik ehitada lisaks: treasury (annab +50 kulda sissutulekut iga burrows maa kohta juurde) ja bank (suurendab Sinu maadelt saadavat sissetulekut protsentuaalselt). Maa kaitsjad on vastavalt: bat, goblin, gargoyle ja minotaur.",
"„Jungle” – dzungel. Annab vee mana. Dzunglisse on võimalik ehitada lisaks: water altari (annab „frost bolt ” loitsu) ja water templi (annab „summon water ” loitsu). Maa kaitsjad on vastavalt: snake, gorilla, tiger ja beastmaster.",
"„Rocks” – kaljustik. Annab õhu mana. Kaljustikku on võimalik ehitada lisaks: air altari (annab „lighting bolt ” loitsu) ja air templi (annab „summon air ” loitsu). Maa kaitsjad on vastavalt: falcon, eagle, griffin ja storm dragon.",
"„Iceland” – jäämaa. Annam vee mana. Jäämaale on võimalik ehitada lisaks: water altari (annab „frost bolt ” loitsu) ja water templi (annab „summon water ” loitsu). Maa kaitsjad on vastavalt: gremlin, polar bear, naga ja ice drake.",
"„Woodland” – metsamaa. Mana ei anna. Metsamaale on võimalik ehitada lisaks: elven shrine (suurendab puhkeväärtust kõikidel woodlandi maadel) ja sanctuary (suurendab puhkeväärtust kõikidel maadel). Maa kaitsjad on vastavalt: elf, centaur, unicorn ja phoenix.",
"„Dark forest” – tontlik mets. Annab musta maagia mana. Tontlikku metsa on võimalik ehitada lisaks: death altari (annab „unholy strengthi” loitsu)ja death templi (annab „death grasp” loitsu). Maa kaitsjad on vastavalt: dark elf, spider queen, nightmare ja hydra.",
"„Plain” – rohumaa. Annab valge maa mana. Rohumaale on võimalik ehitada lisaks: life altari (annab „spirit guardian” loitsu), life templi (annab „wrath of god” loitsu). Maa kaitsjad on vastavalt: cadet, horseman, cavalier ja warlord.",
Kuidas mängida.,
Vali strateegia alati igast mängulauast lähtudes (kuna arvuti poolt genereeritud mängulaud võib üsna palju eelnevast erineda).,
"NB! Ükskõik mida Sa teed, jälgi alati oma elupunkte. Sest kui elud langevad 0-i, siis on mäng sinu jaoks lõppenud. Kuni vastastel ei ole veel kindlusi ega ka teisest tugevustasemest tugevamaid kolle, ei ole oht korraga palju elupunkte kaotada suur, kuid kui vastsel on juba kindlus, siis oleks tark hoida oma elupunktid alati ülevalpool kahtekümment või enamat.",
"Oluline on: tagada endale korralik  kulla ja mana sissetulek. Edasi, katsu võimaluse korral  kokku saada sama tüüpi maid. Kui oled nad kokku saanud, kindlusta kohe oma positsioon seal – raja kindlustusi. Lõpukindlused on just Sinu peamine jõud, kui soovid vastasmängijaid laualt välja süüa.",
*Kuld.,
Kulda saadakse läbides „Royal court” ruudu. Saadud kulla hulk sõltub sinu omanduses olevate maade maksumäärast. Samuti on võimalik kulda saada leides varandusi.,
*Kas maa osta või hoopis vallutada?,
"Kasuta mõlemat. Alati kui satud neutraalsele maale ja tekib selline valikuvõimalis, siis jälgi: kui palju on Sul elupunkte, kui kõvasti Sa lööd või kui oskad juba mõnda nõidust, siis kas vajalik mana on olemas jms.; ja loomulikult – kes on kaitses.",
"Näiteks kui sinu löögi tugevus on 1d5 (alustades ongi nii), siis tähendab see seda, et Sinu nõrgim löök võtab vastaselt  ühe elupunkti, ja tugevaim löök 5 elupunkti. Keskmiselt lööd sa kolmeseid lööke. St., et näiteks koboldist (kellel on 9 elupunkti) saad sa tõenäoliselt jagu; teoreetiliselt võid sa ka jagu saada barbarist (kellel on 15 elupunkti), kuid selle tõenäosus on sama kui kolm korda järjest täringuga viite veeretada.",
*Milliseid maid peaksin ma valima?,
"Kõik maad on head. Ja mida rohkem sul neid on , seda parem sulle. Kuid, eriti „magusad” on just keskmised maad (st. et sellest maast mõlemal pool on sama tüüpi maad). Kaitse neid hoolikalt. Miks? Sest et, kui Sul on juba kaks maad kõrvuti; siis kui ühte maad rünnatakse, tuleb kõrvalasuva maa kaitsja appi  (appi  jõuab ta järgmisel round-il; kui õnnestub maa kaitsja võita ühe roundiga, siis kõrvalasuva maa kaitsja appi ei jõua).",
"*Kink kuningalt (Kings gift). Iga tiitliga kaasneb ka kink kuningalt. Õieti on tegemist valikuga kolme erineva asja vahel. Vali hoolikalt, sellest võib mängus oleneda palju.",
Tiitel saadakse kui mängijal on kokku saadud teatud hulk maid.,
"Tiitleid on kolm. Parun (baron) - 3 maad, krahv (count) - 9 maad, hertsog (duke) – 15 maad.",
*Millised loitsud (nõidused) siin mängus on? Kuidas loitse saada?,
"Loitse on kolme sorti (I otseselt vastast kahjustavad, II kutsuma välja (summon) erinevaid liitlasi, III igasuguseid sinu võimeid ja oskusi parandavaid loitse).",
"Iga loits vajab ühte kindlat tüüpi  mana. Manatüüpe on seitse: tuli (fire), maa (earth), õhk (air), vesi (water), must (death), valge (life), arkaane (arcane) mana.",
"Kui vajalikku kogust mana ei ole, siis loitsu nõidumine ei ole võimalik.",
"Loitsu tugevuse määrab nõiduja võluvõime (power)  ja loitsu tugevusaste (level). Kui võluvõime suurus mõjutab loitsu tugevust märkimisväärselt, siis loitsu tugevusaste (level) mõjutab loitsu tugevust drastiliselt.",
Toome siin näite lahingunõiduste kohta.,
"Kui sinu võluvõime (power) on 2 ja su vastase võluvõime on sama (ka 2), siis sinu nõidus „Fire Bolt” teebki talle umbers nii palju haiget kui nõiduse infos kirjas on - umbes 9 võrra haiget. Kui vastasel oleks aga 2x väiksem power kui sul (1)- siis põletaks su Fire Bolt talle juba 2x rohkem - vähemalt 18 võrra elusid vähemaks. Sama suhe oleks kui sinu power oleks 6 ja vastase oma 3. Sama töötab ka vastupidi, kui sinu power on suurem kui vastasel, siis tema maagiat eriti kartma ei peaks.",
"Samas, kui sul oleks Fire Bolt tugevusastmel (level) 2 või isegi 3, siis see kahju mis sa teed on vastavalt 2 või 3x-dne.",
"Õnnestub Sul oma loitsu tugevusastet tõsta, siis oled saanud enda kasutusse võimsa relva, mille oskuslikul kasutamisel võid mängu enda poole kallutada. Kui Sul on valida mitme loitsu vahel, siis otsustamisel jälgi – kui sagedasti suudad Sa loitsu nõiduda (milline on Sinu mana seis) ja mida Sa suudaksid selle loitsu abil korda saata. Üldiselt on nii, et (II ja III grupp) võluvõime suurus määrab loitsu kestvuse ja tugevusaste (level) määrab ära loitsu võimsuse, vägevuse. Näiteks loits „summon fire elmental”, kui nõiduja võluvõime (power) on 2 ja loitsu tugevusaste (level) on 1, siis seda loitsu nõidudes ilmub 1 fire elmental (kes jääb nõiduja kaaslaseks 4 päevaks (turniks) ). Kui aga nõiduja võluvõime on 5 ja loitsu tugevusaste on 3, siis seda loitsu nõidudes ilmub 3 fire elmental-i, kes kõik jäävad nõiduja käsutusse 10-ks päevaks (turniks).",
"Võime loitse nõiduda omandatakse lugedes vastavasisulist pärgamendirulli (scroll) või siis ehitades templi või altari. Kui sama loitsu andev altar on juba olemas, siis loitsu õpetav pärgamendirulli lugemine suurendab su loitsu väge.",
Pärgamendirulle (scrolle) on võimalik hankida raamatukogust (library) ja maagi gildist. Teinekord võib vanu pärgamendirulle leida ka vanadest hauakambritest ja aaretelaegastest.,
*Kindlused ja teised ehitised.,
"Kindluste rajamine muutub võimalikuks kui üks mängija on saanud kokku kõik sama tüüpi maad (ilmub „build” nupp). Kindluseid ja muid ehitisi on võimalik ehitada ükskõik millisel ruudul olles, sa ei pea ise olema samal ruudul kuhu ehitada tahad.",
"Kindlused on jõud. Mängija, kel õnnestub esimesena kindlus üles ehitada on tugevas eelises võrreldes teiste mängijatega.",
"Kindlustuste erinevaid astmeid on kolm: väikseim on kants (fort), keskmine on linnus (citadel), suurim on loss (castle). Kindlustuste ehitamine suurendab maa kaitsjate arvu. Selleks, et kindlust kaitseksid parimad vibukütid tuleb ehitada lisaehitisi (fletchery , archery guild).",
"Pärast kindluste rajamist on võimalik ehitada mitmesuguseid ehitisi (altar, temple,barracs jt.), mis kõik lisavad erinevaid võimalusi, boonuseid.",
*Kuidas kindlusi vallutada?,
"Kindluse vallutamine on tegevus, mis peab olema hästi läbimõeldud ja samahästi ka ette valmistatud.",
"Et minna üleüldse kindlust vallutama, selleks peaks Sul olema kaaslasi. Miks? Eelkõige on kaaslasi vaja, et kogu kindluse vibuküttide tuli ei langeks Sinu pihta. Kaotada ühe roundiga 20-nd või rohkem elupunkte elite arcerite vastu – see võib-olla üsna tavaline. Loomulikult on kaaslastest abi ka maa kaitsjate löömisel.",
"Tee nii: kogu (osta, nõiu) endale korralik vägi; vaata, et Sul oleks nii piisavalt elupunkte kui ka küllaldaselt mana mitme (vastast otse kahjustava) loitsu jagu (3 oleks hea). Eriti head loisud kindluse vallutamiseks on Wrath of God ja Fireball, mis võivad korraga tabada kõiki maa kaitsjaid. Esimese tegevuspunkti ajal (hommikul) suuna oma loits maa kindluse värava pihta. Kui värav on langenud, siis saavad Su kaaslased tungida kindlusesse (ning asuda kindluse kaitsjatega lähivõitlusesse). Edasi jälgi asjade käiku. Kui oled hea maag, siis kasuta loitse, kui oled osav relvadega ümber käima, siis kasuta relvi.",
Nuppude seletused.,
„Start game“ – alustab mängu,
"„2 players“,  „3 players“, „4 players“ – siit saab valida mängijate arvu",
Mängijate järjekord loositakse arvuti poolt (sisestamis järjekorral ei ole siin tähtsust).,
"See mängija, kes sai kõige esimesena käigu, sel tekib nupp „Move“.",
"„Move“ – sellele nupule vajutades veeretatakse kahte kuue-silmalist täringut, mille summa ongi see arv ruute, mille võrra mängija liigub mänguväljal edasi.",
„End turn”- annab käigu edasi järgmisele mängijale.,
„Buy land“- ostad koheselt maa endale.,
"Nupp tekib vaid siis, kui mängija satub maale, mis ei kuulu ühelegi teisele mängijale (st. on neutraalne).",
"„Buy land” vajab kogu päeva (st. terve mängija käigu; nii et kui sa teed midagi enne, mis viib aega edasi - (hommik -> lõuna), siis „Buy land“ nupp kaob). Loomulikut peab mängijal ka  piisavalt kulda olema, et maa ära osta.",
"„Buy_item” –  sattudes mänguväljal erinevatesse kohtadesse, kus on võimalik osta ja müüa mitmesuguseid asju (olenevalt kohast, kas siis relvi, ravijooke, loitse vms.), tekib selline nupp. Ühe asja ostmine võtab alati ühe tegevus-punkti",
„Sell” –  müüma. Tekib sarnaselt „Buy_item” nupuga. Võtab samuti ühe tegevus-punkti.,
„Attack“- rünnata maad vallutamise eesmärgil.,
"Kui sa käigu algul midagi aegavõtvat pole teinud, on sul võimalus kolli 3-l korral rünnata (jällegi  - iga rünnaku üritus võtab ühe tegevus-punkti), mille jooksul pead sa kolli maha lööma. Õnnestub sul koll maha lüüa, siis saad maa endale; kui sa seda 3 korra jooksul siiski teha ei suuda, siis saabub öö ning lahing lõppeb (ilmub „End turn” nupp).",
"„Attack_teine_mängija”- mõnikord, kui mängija satub maale, kus asub teine mängija tekib võimalus rünnata seal olevat mängijat (kasutada seda võimalust ainult siis kui oled oma tugevuses kindel, sest maal olevad kollid astuvad samuti maa omaniku poolel sinu vastu võitlusse.)",
"Kui mängija satub maale, mis  juba kuulub teisele mängijale, siis rünnatakse teda automaatselt (mõningate eranditega: vaata - „Attack_teine_mängija”).",
"„Rest”- vajutades seda nuppu otsustad sa puhata, et taastada kaotadud elu-(sid., elu-punkte tervist, elujõudu, vms.) või siis näiteks koguda elu hoopis tulevaste võitluste tarvis.",
"NB! „Rest” nupp kasutab ära kõik allesjäänud tegevus-punktid, nii et pärast sellele nupule vajutamist ilmub „End turn”-i nupp ning käik tuleb edasi anda.",
"NB! kasuta seda nuppu alati, kui kõik soovitud tegevused on tehtud ja tegevus-punkte on veel alles (ära vajuta „End turn” enne, kui oled vajutanud „Rest” nuppu).",
„Inventory”- sellele nupule vajutades saad sa vaadata enda kasutuses olevaid ja ka hetkel veel kasutamata asju. „Inventory” nupule vajutamine ei võta ühtegi tegevus-punki. Küll aga võtab tegevus-punkte asjade kasutusele võtmine.,
"NB! Selleks, et mingist asjast oleks kasu, peab ta olema kas selga pandud või siis loetud (loitsude puhul), alles siis muutuvad „nende omadused aktiivseteks”.",
"„Equip”- võta kasutusele, pane selga.",
"„Remove” – loobu kasutamast, võta seljast ära.",
„Fight”- astu võitlusesse. Vajutades seda nuppu alustad võitluse.,
„Take_n”- võtma. Vajudades seda nuppu saad n-asja (asi on nüüd sinu inventory-s) endale.,
"„Send Menu”- see nupp viib mängija alammenüüdesse, kus mängijal on võimalik valikuliselt saata erinavaid ressursse (kulda, asju, maid) teistele mängijate. Ühesõnaga – kauplemis-nupp.",
"NB! Optional - st. et antud nupp tekib, kui mängijad on valinud mängu alustades    optionite alt sellise võimaluse.",
"„Hire_n_koll”- palkama. Tekib kui satud „mercenary camp” ruudule, kus kulla eest on sul võimalik palgata mõneks ajaks endale kaaslasi.",
„Train_n_stat” – treenima. Selle nupu tekkides on sul võimalik treenida vastavat n-omadust.Võib olla nii stat kui ka loits. Millegi treenimiseks läheb reeglina terve päev (nõutav kõikide tegevus-punktide olemasolu).,
„Turn_n_dir”- pöörama. Tähistab suuna valiku nuppu.,
„Jump”- hüppama.,
"„Clear path” – siin: „puhasta käik” (ka: tee, rada)",
„Solve riddle” –  „lahenda mõistatus”,
"„Improve lands income_by_n” – selline nupp tekib kui satud omaenda maa peale. See nupp võimaldab sul tõsta maa väärtust ning sellega suurendada oma sissetulekuid. Sissetuleku kasv on seda suurem, mida enam tegevus-punkte sa sinna kasutad (vajutad siiski ühe korra, töötab nagu „rest” nuppki). Kui teed seda kohe päeva alguses, siis kasvab ka selle maa healing_value.",
„Upgrage defender” – selline nupp tekib kui satud omaenda maa peale. See nupp võimaldab sul palgata oma maad kaitsma tugevama kolli. Iga „Upgrage defender” võtab ühe tegevus-punkti ja kulda.,
"„Build” – nupp tekib, kui sul on koos kõik ühte tüüpi maad. Vajutades seda nuppu näed sa milliseid ehitisi on sul võimalik ehitada. Iga ehitise ülesehitamine võtab ühe tegevus-punkti, eeldusel muidugi, et vajalik kuld on olemas.",
"„Spells”, „Cast” – nupp tekib siis, kui oskad juba mõnda loitsu (spelli) nõiduda (castida). Eduka nõidumise eelduseks on nõutava „mana” olemasolu.",
„Teleport_koht” – telepordib sind soovitud kohta (ja hiljem automaatselt tagasi).,
