name,type,col_2,col_3,mana_cost,col_5,mana_type,effect_type,col_8,description,base_power,col_11,col_12,col_13,summon_1,summon_2,summon_3,summon_4,col_18,col_19,col_20,flag_1,col_22,flag_2,col_24,flag_3,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,name_en,description_en,name_et,description_et
Kutsu metsloomi,2,0,0,0,0,5,8,25,kutsub metsloomad sulle kaaslasteks - liitlasteks,0,0,0,Hunt,Karu,Karu,Lõvi,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Summon Beasts,summons some forest creatures to serve the caster,Kutsu metsloomi,kutsub metsloomad sulle kaaslasteks - liitlasteks
Maagiline tuul,2,0,0,0,0,6,0,40,võimaldab Sul enda ja aeg ajalt ka teiste liikumist mõjutada.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,Manipulate Winds,manipulates all players dice roll by or -1 or +(1-4),Maagiline tuul,võimaldab Sul enda ja aeg ajalt ka teiste liikumist mõjutada.
Piksenool,1,0,0,0,0,6,11,20,tulistab välku ühe vastase pihta (Tugevusaste 8),8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Lightning Bolt,shoots magical lightning at single target (Base damage 9),Piksenool,tulistab välku ühe vastase pihta (Tugevusaste 8)
Loo õhukoll,2,0,1,0,0,6,8,40,"tekitab õhukolli, kes jääb nõiduja käsutusse.",0,0,0,Õhu Elemental,Õhu Elemental,Õhu Elemental,Õhu Elemental,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Summon Air,summons air elemental,Loo õhukoll,"tekitab õhukolli, kes jääb nõiduja käsutusse."
Jäänool,1,0,0,0,0,7,11,20,tulistab maagilist külma ühe vastase pihta (Tugevusaste 8),8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Frost Bolt,shoots magical frost at single target (Base damage 8),Jäänool,tulistab maagilist külma ühe vastase pihta (Tugevusaste 8)
Kiirendus,2,0,0,0,0,7,10,30,"lisab kiirust ja osavust sellele, kelle peale see nõidus pannakse",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,Haste,sives additional attacks and speed,Kiirendus,"lisab kiirust ja osavust sellele, kelle peale see nõidus pannakse"
Rahetorm,1,0,0,0,0,7,12,35,jäätab kõiki vastaseid ühes grupis (Tugevusaste 5),5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Blizzard,rains magical cold down on enemy group (Base damage 5),Rahetorm,jäätab kõiki vastaseid ühes grupis (Tugevusaste 5)
Loo veekoll,2,0,0,0,0,7,8,40,"tekitab veekolli, kes jääb nõiduja käsutusse.",0,0,0,Vee Elemental,Vee Elemental,Vee Elemental,Vee Elemental,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Summon Water,summons water elemental,Loo veekoll,"tekitab veekolli, kes jääb nõiduja käsutusse."
Surma haare,1,0,0,0,0,8,11,25,võtab vastaselt elu ja annab nõiale  (Tugevusaste 7),7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,25,0,,,,,,,,,,,,,,Death Grasp,srains life and gives it to caster (Base damage 7),Surma haare,võtab vastaselt elu ja annab nõiale  (Tugevusaste 7)
Elusta surnud,2,0,0,0,0,8,8,20,äratab surnud (luukered või muud) sind teenima.,0,0,0,Luukere,Luukere,Ghuul,Ghuul,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Raise Dead,summons an undead to serve the caster,Elusta surnud,äratab surnud (luukered või muud) sind teenima.
Kurjuse jaks,2,0,0,0,0,8,10,25,"suurendab füüsilist jõudu sellel, kelle peale see nõidus pannakse.",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,Unholy Strength,increases targets strength for duration,Kurjuse jaks,"suurendab füüsilist jõudu sellel, kelle peale see nõidus pannakse."
Paranda haavu,3,0,0,0,0,9,10,20,"annab elu juurde sellele, kelle peale see nõidus pannakse",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,Heal,heals target,Paranda haavu,"annab elu juurde sellele, kelle peale see nõidus pannakse"
Inglite kutsumine,2,0,0,0,0,9,8,50,"kutsub taevast sulle ingli kaaslaseks, liitlaseks.",0,0,0,Ingel,Ingel,Ingel,Peaingel,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Summon Angel,summons an angel to serve you,Inglite kutsumine,"kutsub taevast sulle ingli kaaslaseks, liitlaseks."
Jumalate viha,1,0,0,0,0,9,12,50,tabab kõiki vastaseid ühes grupis (Tugevusaste 10),10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,Wrath of God,calls divine powers to stike on enemy group (Base damage 10),Jumalate viha,tabab kõiki vastaseid ühes grupis (Tugevusaste 10)
Kutsu Kaitsevaim,2,0,0,0,0,9,8,20,kutsub välja kaitsevaimu sulle kaaslaseks.,0,0,0,Vaim,Vaim,Kaitsevaim,Kaitsevaim,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Spirit Guardian,summons a spirit to guard you,Kutsu Kaitsevaim,kutsub välja kaitsevaimu sulle kaaslaseks.
Dispel Magic,3,0,0,0,0,10,0,6,Dispels a spell,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,Dispel Magic,Dispels a spell,Negeeri nõidus,Dispels a spell
Polymorph,3,0,0,0,0,10,0,20,transforms mob into weaker or stronger mob,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Polymorph,transforms mob into weaker or stronger mob,Polymorph,transforms mob into weaker or stronger mob
Fire Castle,2,0,0,0,0,4,0,6,Castle towers will accumalate fire damage over time that will be released on first person to step on it,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,Fire Castle,Castle towers will accumalate fire damage over time that will be released on first person to step on it,Tulekindlus,Castle towers will accumalate fire damage over time that will be released on first person to step on it
Fire Enchant,2,0,0,0,0,4,0,6,Gives unit bonus fire damage,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Fire Enchant,Gives unit bonus fire damage,Pühitse tulega,Gives unit bonus fire damage
Entrapment,2,0,0,0,0,5,0,6,Person cannot flee from selected square,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,Entrapment,Person cannot flee from selected square,Lõks,Person cannot flee from selected square
Earthbuild,2,0,0,0,0,5,0,6,Halves building costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Earthbuild,Halves building costs,Maaehitus,Halves building costs
Teleport,2,0,0,0,0,6,0,20,Teleports caster into another location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,Teleport,Teleports caster into another location,Teleport,Teleports caster into another location
Slow,2,0,0,0,0,5,0,6,Playerile peale (dexi vyi flee sansu maha),0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Slow,Playerile peale (dexi vyi flee sansu maha),Aeglus,Playerile peale (dexi vyi flee sansu maha)
Retaliation,3,0,0,0,0,7,10,7,Caster hits back the same dam that mob was hitting him with,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,Retaliation,Caster hits back the same dam that mob was hitting him with,Vastulöök,Caster hits back the same dam that mob was hitting him with
Possession,2,0,0,0,0,7,0,7,Tries to possess enemy player each round,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,Possession,Tries to possess enemy player each round,Seestamine,Tries to possess enemy player each round
Vampiric Bats,2,0,0,0,0,8,0,30,Iga turni algul võtab playerilt elu ära ja annab casterile,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,Vampiric Bats,Iga turni algul võtab playerilt elu ära ja annab casterile,Vampiirhiired,Iga turni algul võtab playerilt elu ära ja annab casterile
Air Shield,2,0,0,0,0,6,0,20,"Increases casters armor, protects the caster vs missiles and some spells",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,Air Shield,"Increases casters armor, protects the caster vs missiles and some spells",Õhukilp,"Increases casters armor, protects the caster vs missiles and some spells"
Name (1),Type (2),Player 1 knowledge,Pl 2,Pl 3,Pl 4,ManaType,type2,Manacost (9),Description,Damage11,Generate Gold,create_item,Summon1,Summon2,Summon3,Summon4,mitu tükki,mitu tükki,mitu tükki,mitu tükki,Aggressive,on friendlies,on hostiles,Targets group,Targets unit,Targets Land,Targets Castle,Targets Player only,Global Range,Heals targets,Armor,Haste,Stength,Vampiric,Manipulates,,,,,,,,,,,,,,,Description,,Description
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
